,state,dates
943,AP,2021-03-05
944,AP,2021-03-06
945,AP,2021-03-07
946,AP,2021-03-08
947,AP,2021-03-09
948,AP,2021-03-10
949,AP,2021-03-11
950,AP,2021-03-12
951,AP,2021-03-13
952,AP,2021-03-14
953,AP,2021-03-15
954,AP,2021-03-16
955,AP,2021-03-17
956,AP,2021-03-18
957,AP,2021-03-19
958,AP,2021-03-20
959,AP,2021-03-21
960,AP,2021-03-22
961,AP,2021-03-23
962,AP,2021-03-24
963,AP,2021-03-25
964,AP,2021-03-26
965,AP,2021-03-27
966,AP,2021-03-28
967,AP,2021-03-29
968,AP,2021-03-30
969,AP,2021-03-31
970,AP,2021-04-01
971,AP,2021-04-02
972,AP,2021-04-03
973,AP,2021-04-04
974,AP,2021-04-05
975,AP,2021-04-06
976,AP,2021-04-07
977,AP,2021-04-08
978,AP,2021-04-09
979,AP,2021-04-10
980,AP,2021-04-11
981,AP,2021-04-12
982,AP,2021-04-13
983,AP,2021-04-14
984,AP,2021-04-15
985,AP,2021-04-16
986,AP,2021-04-17
987,AP,2021-04-18
988,AP,2021-04-19
989,AP,2021-04-20
990,AP,2021-04-21
991,AP,2021-04-22
992,AP,2021-04-23
993,AP,2021-04-24
994,AP,2021-04-25
995,AP,2021-04-26
996,AP,2021-04-27
997,AP,2021-04-28
998,AP,2021-04-29
999,AP,2021-04-30
1000,AP,2021-05-01
1001,AP,2021-05-02
1002,AP,2021-05-03
1003,AP,2021-05-04
1004,AP,2021-05-05
1005,AP,2021-05-06
1006,AP,2021-05-07
1007,AP,2021-05-08
1008,AP,2021-05-09
1009,AP,2021-05-10
1010,AP,2021-05-11
1011,AP,2021-05-12
1012,AP,2021-05-13
1013,AP,2021-05-14
1014,AP,2021-05-15
1015,AP,2021-05-16
1016,AP,2021-05-17
1017,AP,2021-05-18
1018,AP,2021-05-19
1019,AP,2021-05-20
1020,AP,2021-05-21
1021,AP,2021-05-22
1022,AP,2021-05-23
1023,AP,2021-05-24
1024,AP,2021-05-25
1025,AP,2021-05-26
1026,AP,2021-05-27
1027,AP,2021-05-28
1028,AP,2021-05-29
1029,AP,2021-05-30
1030,AP,2021-05-31
1031,AP,2021-06-01
1032,AP,2021-06-02
1033,AP,2021-06-03
1034,AP,2021-06-04
1035,AP,2021-06-05
1036,AP,2021-06-06
