districts,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested
Kakching,84702,49653,0,0,0,0
Kamjong,10502,5370,0,0,0,0
Kangpokpi,39027,19015,0,0,0,0
Noney,16798,9819,0,0,0,0
Pherzawl,12417,9888,0,0,0,0
Senapati,28247,18288,0,0,0,0
Tamenglong,19931,10361,0,0,0,0
Tengnoupal,26209,12163,0,0,0,0
Thoubal,141308,62279,0,0,0,0
Ukhrul,22193,14759,0,0,0,0
Unknown,0,0,123731,1921,121102,0
Agar Malwa,424846,128822,3303,68,3235,0
Alirajpur,369571,114601,3505,48,3453,0
Anuppur,481238,164712,9238,89,9140,3424
Ashoknagar,550087,186066,3670,57,3613,55792
Balaghat,1278183,549643,9100,64,9017,9654
Barwani,788872,225336,8366,90,8267,41588
Betul,1042931,343674,12905,277,12590,68036
Bhind,1034374,351065,2995,32,2960,44395
Bhopal,2012966,1168682,123552,972,122121,245166
Burhanpur,493618,220909,2568,39,2529,13040
Chhatarpur,1093616,336309,7609,91,7506,50518
Chhindwara,1624355,591843,6734,120,6612,79090
Damoh,844557,326505,8120,186,7841,16564
Datia,560238,296233,6959,78,6874,40322
Dewas,1005266,477219,7723,51,7672,96155
Dhar,1371226,536214,12572,130,12388,62597
Dindori,481366,186341,4623,29,4588,3557
Guna,821399,284155,5132,44,5085,40229
Gwalior,1452149,730150,53106,633,52427,206696
Harda,394641,159293,5055,96,4954,36708
Hoshangabad,865566,369945,10688,99,10570,46294
Indore,2951024,1728945,153230,1391,151410,780266
Jabalpur,1957070,1099359,50779,670,49896,293923
Jhabua,607542,185320,7691,64,7619,52146
Katni,865274,306259,9366,120,9242,56828
Khandwa,862885,310248,4044,94,3946,17090
Khargone,1147444,411114,13970,239,13716,38413
Mandla,684882,246724,5188,25,5159,0
Mandsaur,948065,330902,8637,84,8552,52733
Morena,1295658,582833,8236,95,8135,90967
Narsinghpur,803225,318284,11209,81,11115,90600
Neemuch,579489,229183,7926,84,7828,57292
Niwari,0,0,3715,48,3654,22574
Panna,600823,168120,7331,63,7250,0
Raigarh,0,0,1,0,0,0
Raisen,885585,333022,9238,194,9030,44343
